Drone1_x,Drone1_y,Drone2_x,Drone2_y,Drone3_x,Drone3_y,Drone4_x,Drone4_y,Drone5_x,Drone5_y,Drone6_x,Drone6_y
1706,-3,1814,1717,155,-264,1479,259,-127,717,-95,561
2119,473,1605,1830,605,1076,1845,1632,400,60,1946,638
466,-414,1739,1549,1341,1327,1176,753,-858,-90,941,390
891,609,1081,-132,1452,1870,-933,72,1863,1462,425,39
1658,1189,103,324,275,435,74,611,486,268,-127,327
-65,-1091,334,-687,-836,55,510,1750,1201,896,-1021,440
955,509,809,221,225,-3,1117,266,291,546,59,398
577,1642,1335,897,1421,510,354,1727,147,889,-304,880
165,-899,1447,-412,1458,1632,482,-1153,1983,1745,-778,1019
460,809,-478,1589,930,405,1431,1792,1607,61,-284,1042
148,353,272,666,1521,130,159,238,864,535,803,208
1672,1735,-280,-134,327,474,759,290,430,56,404,1386
1582,1846,-618,1289,1807,1539,95,-870,-1103,361,770,784
923,1596,56,901,291,833,1563,810,797,1274,1899,121
-210,-498,-394,666,420,423,1228,532,451,437,1934,838
697,569,1935,1910,665,159,1461,378,235,380,1447,1832
291,-1085,-728,1346,1818,83,950,1870,-95,-762,-694,-692
1756,673,1377,326,-189,597,125,1582,567,516,490,957
-1107,69,1812,348,1299,1968,1371,1700,516,339,479,445
-1057,-58,-584,-757,1165,1835,1257,97,1778,1581,372,-551
599,-429,1915,1538,1103,588,318,10,836,438,1626,471
-1,-276,-914,184,90,764,1280,1203,1528,314,-578,1499
1419,-699,403,902,1572,-616,1618,1492,668,416,347,-1152
1618,1693,651,345,-100,303,87,-194,1990,1272,857,-381
103,1607,306,613,1359,418,-175,-127,885,742,1615,1723
-49,-166,-84,449,224,1764,504,-1228,-381,1399,731,-1208
1447,482,-7,-1051,500,467,1216,741,-955,318,1838,422
1325,-5,2,-103,1216,842,984,522,-128,468,1918,1649
1575,601,504,388,-87,838,253,1016,451,1391,1919,1290
1246,417,1323,-539,1352,1895,434,-59,-614,953,765,32
205,-902,532,735,114,322,748,-159,523,377,1408,-729
-400,945,894,616,204,-39,453,114,109,-375,1454,568
-820,406,1223,585,954,177,-159,-1057,-906,-202,330,679
216,-746,-661,1294,-361,-641,1081,-904,-660,485,1450,1879
